question,answer,document
"Как производится усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации?"," Усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации, производится в порядке, установленном настоящим Кодексом для граждан Российской Федерации.

Таким образом, если иностранный супруг гражданина РФ хочет усыновить ребенка, он должен подать заявление о усыновлении в районный суд по месту жительства или месту нахождения усыновляемого ребенка, и следовательно, приложить документы, указанные в части первой статьи 271 Кодекса о усыновлении (данный перечень документов представлен в вопросе №6).

Кроме того, необходимо соблюдать требования, предусмотренные статьями настоящего Кодекса, в частности, усыновление ребенка иностранным гражданином может быть произведено независимо от гражданства усыновителя, но в случае, если в результате усыновления могут быть нарушены права ребенка, установленные законодательством Российской Федерации и международными договорами Российской Федерации, усыновление не может быть произведено независимо от гражданства усыновителя, а произведенное усыновление подлежит отмене в судебном порядке.","['Гражданский процессуальный кодекс Российской Федерации', 'Семейный кодекс Российской Федерации']"
Что такое коллективный трудовой спор?," Коллективный трудовой спор - это неурегулированные разногласия между работниками (их представителями) и работодателями (их представителями) по поводу установления и изменения условий труда (включая заработную плату), заключения, изменения и выполнения коллективных договоров, а также в связи с отказом работодателя учесть мнение выборного представительного органа работников при принятии локальных нормативных актов.","['Трудовой кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие процедуры могут предшествовать заключению трудового договора с руководителем организации?," Кроме законодательства о труде, учредительных документов организации и трудового договора сами по себе, процедуры могут предшествовать заключению трудового договора с руководителем организации в виде проведения конкурса или избрания (назначения) на должность. Эти процедуры могут быть установлены трудовым законодательством и другими нормативными правовыми актами, содержащими нормы трудового права.",['Трудовой кодекс Российской Федерации']
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления?"," При помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины исчисляются в отношении продуктов переработки и уплачиваются в соответствие со статьей 136 настоящего Кодекса. При этом обязанность по уплате налогов, специальных, антидемпинговых, компенсационных пошлин у декларанта не возникает.",['Таможенный кодекс Евразийского экономического союза']
Что такое государственная собственность в Российской Федерации?," В Российской Федерации государственной собственностью является имущество, принадлежащее на праве собственности Российской Федерации (федеральная собственность) и имущество, принадлежащее на праве собственности субъектам Российской Федерации - республикам, краям, областям, городам федерального значения, автономной области, автономным округам (собственность субъекта Российской Федерации). Земля и другие природные ресурсы, не находящиеся в собственности граждан, юридических лиц либо муниципальных образований, являются государственной собственностью. От имени Российской Федерации и субъектов Российской Федерации права собственника осуществляют органы и лица, указанные в статье 125 настоящего Кодекса (Гражданский кодекс РФ).","['Земельный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации', 'Бюджетный кодекс Российской Федерации']"
Кто одобрил Методические рекомендации по разработке технической части тендерной документации и оферты претендента?, Методические рекоменации были установлены в развитие требований «Положения о подрядных торгах в Российской Федерации» и одобрены приложением к распоряжению Госкомимущества России и Госстроя России от 13 апреля 1993 г. № 660-р/18-7.,"['Data1_10_10869_index', 'Data1_10_10865_index']"
"Что грозит за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации?"," Грозит административный штраф в размере от одной тысячи пятисот до двух тысяч пятисот рублей для граждан, от пятнадцати тысяч до двадцати тысяч рублей для должностных лиц и от ста тысяч до пятисот тысяч рублей для юридических лиц. Это предусмотрено частью 5 статьи 19.8 настоящего Кодекса (Статья о непредоставлении ходатайств, уведомлений, сведений в федеральный антимонопольный орган, его территориальные органы).",['Административный кодекс Российской Федерации']
"Какие участки трубопроводов подлежат замене, согласно ГОСТ МДС 13-18.2000?"," Участки трубопроводов подлежат замене, если на них выявляется более 0,7 свича (в том числе заваренного) на 1 п.м трубы или коррозионный износ превышает 60 % (определяется по специально вырезанным образцам длиной 100 мм).","['Data1_1_1879_index', 'Data1_10_10852_index', 'Data1_11_11295_index']"
Какие примеры нематериальных активов приведены в тексте?," В тексте упоминаются следующие примеры нематериальных активов:
1) безналичные денежные средства, бездокументарные ценные бумаги, цифровые права;
2) охраняемые результаты интеллектуальной деятельности и приравненные к ним средства индивидуализации (интеллектуальная собственность).

Это могут быть такие вещи как изобретения, произведения литературы и искусства, программы для ЭВМ, базы данных, топологии интегральных микросхем, секреты производства (ноу-хау), права на использование результатов интеллектуальной деятельности.","['Кодекс административного судопроизводства Российской Федерации', 'Data1_10_10867_index', 'Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Как компенсируется ущерб Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ в ГОСТ МДС 11-11.2000?," В соответствии с GOSST MDS 11-11.2000 (Государственный стандарт для документирования контрактов), ущерб Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ компенсируется полностью Работодателем.","['Data1_10_10858_index', 'Data1_10_10872_index', 'Гражданский кодекс Российской Федерации']"
Какие данные об инвентарном номере и каталожном листе должны быть указаны в форме 5?," В форме 5 для Строительного каталога должно быть указано обозначение серии и выпуска по Рубрикатору части 3 Строительного каталога, а также инвентарный номер (если присвоен) или соответствующий индентификатор документации.","['Data1_10_10849_index', 'Гражданский процессуальный кодекс Российской Федерации', 'Data1_1_1904_index']"
Что такое заключение под стражу?," Заключение под стражу - это меры пресечения, применяемые по судебному решению в отношении подозреваемого или обвиняемого в совершении преступлений, за которые уголовным законом предусмотрено наказание в виде лишения свободы на срок более трех лет. Если невозможно применение иной меры пресечения, то судья может вынести решение о заключении под стражу подозреваемого или обвиняемого в отсутствие обстоятельств, указанных в статье 108 первой части Кодекса Российской Федерации. В случае необходимости избрания меры пресечения заключения под стражу следователь с согласия руководителя следственного органа, а также дознаватель с согласия прокурора возбуждают перед судом соответствующее ходатайство.","['Кодекс внутреннего водного транспорта Российской Федерации', 'Кодекс торгового мореплавания Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
"Как долго может длиться процедура отбора лучшего предложения, согласно ГОСТ МДС 11-11.2000?"," Согласно контексту предоставленному в виде нормативной базы, время, затрачиваемое на процедуру оценки и выбора лучшего предложения не установлено конкретно в ГОСТ МДС 11-11.2000. Это зависит от особенностей объекта, специфики торгов, поставленных целями и задачами, а также могут быть дополнительные технические, организационные и коммерческие предложения, которые будут учитываться. Тем не менее, процесс оценки может быть длительным и могут потребоваться визиты к заказчику или дополнительная информация от претендентов.","['Data1_10_10858_index', 'Data1_10_10866_index', 'Гражданский кодекс Российской Федерации', 'Таможенный кодекс Евразийского экономического союза']"
Что происходит с патентной пошлиной после отзыва заявления об открытой лицензии?," Если до отзыва открытой лицензии не были заключены соответствующие лицензионные договоры на условиях открытой лицензии, то патентообладатель обязан доплатить пошлину за поддержание патента в силе за период, прошедший со дня публикации сведений об открытой лицензии, и в дальнейшем уплачивать ее в полном размере.

Если до отзыва открытой лицензии были заключены соответствующие лицензионные договоры на условиях открытой лицензии, то патентообладатель обязан уплачивать пошлину за поддержание патента в силе в полном размере со дня отзыва открытой лицензии.",['Гражданский кодекс Российской Федерации']
Какая площадь бетоносмесителей должна быть предусмотрена согласно ГОСТ МДС-80-8.2000?," Данный стандарт не касается вопросов площадей бетоносмесителей, поэтому невозможно дать ответ на данный вопрос на основе предоставленного контекста.","['Data1_10_10846_index', 'Data1_10_10865_index', 'Data1_2_2096_index', 'Data1_11_11295_index']"
Как определяются затраты на получение исходных данных и согласования по проектным решениям согласно МДС 81-30.2002?," Затраты на получение исходных данных и согласование по проектным решениям определяются на основании расчетов, а также цен на эти услуги, с уточнением по заключенным договорам. Эта информация находится в разделе 9.1.4 МДС 81-30.2002 ""Определение средств на отдельные виды работ и затраты"".","['Data1_10_10864_index', 'Data1_2_2069_index', 'Data1_2_2081_index', 'Data1_10_10754_index', 'Data1_10_10848_index']"
Какие административные правонарушения относятся к категории нарушений законодательства об охране здоровья граждан?," В соответствии с предоставленным контекстом, следующие административные правонарушения относятся к категории нарушений законодательства об охране здоровья граждан:

1. Нарушение законодательства в области обеспечения санитарно-эпидемиологического благополучия населения (статья 6.3);
2. Нарушения санитарно-эпидемиологических требований к эксплуатации жилых помещений и общественных помещений, зданий, сооружений и транспорта (статья 64).

Все остальные указанные в контексте правонарушения относятся к другим областям законодательства.",['Административный кодекс Российской Федерации']
Как согласно СНиП 3.01.03-84 устанавливаются анкерные блоки и закладные детали?," Анкерные блоки и закладные детали, применяемые в фундаментах, устанавливаются по микрообноске. Для создания микрообноски на установленную и закрепленную обноску фундамента выносят продольные и поперечные разбивочные оси и закрепляют их гвоздями и отриской. По закрепленным осям на опалубке натягивают проволоку, от которой непосредственно и определяют местоположение элементов фундамента в плане. Для установки анкерных болтов рекомендуется применять шаблоны (См. пункты 5.21, 5.22, 5.23 СНиП 3.01.03-84).","['Земельный кодекс Российской Федерации', 'Data1_11_11285_index', 'Data1_11_11293_index']"
Какой телефон указан для бесплатной юридическая консультации в регионах России?, 8 (800) 301-92-12,"['Гражданский процессуальный кодекс Российской Федерации', 'Арбитражный процессуальный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации', 'Таможенный кодекс Евразийского экономического союза']"
В каких условиях содержатся осужденные к аресту?," Осужденные к аресту содержатся в условиях строгой изоляции, раздельно от иных категорий лиц, содержащихся под стражей. Они содержатся изолированно от осужденных мужчин, осужденных женщин, а также осужденных, ранее отбывавших наказание в исправительных учреждениях и имеющих судимость. На осужденных распространяются условия содержания, установленные для осужденных к лишению свободы, отбывающих наказание в условиях общего режима в тюрьме. Осужденным не предоставляются свидания (за исключением свиданий с адвокатами и иными лицами, имеющими право на оказание юридической помощи), за исключением случаев, когда разрешено телефонный разговор с близкими при исключительных личных обстоятельствах. Осужденные имеют право ежемесячно приобретать продукты питания и предметы первой необходимости на сумму четырехста рублей. Осужденным не предоставляется передвижение без конвоя, а образование, профессиональное образование и профессиональное обучение не осуществляются.","['Уголовно-исполнительный кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
В каких случаях таможенный орган отказывает в выпуске товаров при предварительном декларировании?," Таможенный орган может отказать в выпуске товаров при предварительном декларировании по следующим основаниям (см. статья 125 настоящего Кодекса):

1) невыполнение условий, при которых таможенный орган производит выпуск товаров;

2) невыполнение требований таможенного органа об изменении сведений, заявленных в таможенной декларации, в случае, предусмотренном пунктом 2 статьи 112 настоящего Кодекса;

3) наступление при предварительном таможенном декларировании обстоятельств, предусмотренных пунктом 6 статьи 114 настоящего Кодекса (например, товары не размещены в указанной зоне таможенного контроля или сроки для помещения товаров в зону таможенного контроля исключены);

4) несоблюдение при периодическом таможенном декларировании особенностей такого таможенного декларирования, предусмотренных пунктами 1 и 2 статьи 116 настоящего Кодекса;

5) непредъявление товара по требованию таможенного органа в пределах сроков выпуска товаров (установленных пунктом 3 и 6 статьи 119 настоящего Кодекса);

6) невозобновление срока выпуска товаров в случаях, предусмотренных пунктами 6 и 11 статьи 124 настоящего Кодекса;

7) неотнесение товаров, заявленных в пассажирской таможенной декларации, к товарам для личного пользования (в соответствии с пунктом 4 статьи 256 настоящего Кодекса);

8) выявление при проведении таможенного контроля товаров таможенными органами нарушений международных договоров и актов в сфере таможенного регулирования (кроме случаев, когда устранены или не возбуждаются дела);

9) выявление административного правонарушения или преступления;

10) приостановление срока выпуска товаров, содержащих объекты интеллектуальной собственности, в связи с нарушением прав правообладателя на объекты интеллектуальной собственности.

В законодательстве государств-членов могут также предусмотрено отказ в выпуске товаров в случае обнаружения признаков, указывающих на возможность применения запретов и ограничений или мер защиты внутреннего рынка, установленных в ином виде, чем специальные, антидемпинговые, компенсационные пошлины.",['Таможенный кодекс Евразийского экономического союза']
Что такое процессуальное решение по определению статьи 33?," В контексте предоставленного, данная статья не приведена, так что невозможно дать точный ответ. Однако, в случае сходства с другими статьями из представленных текстов, можно предположить, что процессуальное решение по определению может относиться к правомерному судебному решению или акту, который выносятся судом по конкретному делу. В данном случае нужна более конкретная ссылка на статью для точного ответа.","['Гражданский процессуальный кодекс Российской Федерации', 'Арбитражный процессуальный кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Что означает знак 5.22?," По указанному контексту нет информации, которая бы связана с использованием знака 5.22 в качестве товарного знака или обозначения, а также о правах на него или его общеизвестности. В данном случае следует обратиться к нормативным базам по вопросам чековной книжки и их использования в России для получения необходимой информации.

Недостаточно данных в нормативной базе.","['Data1_11_11295_index', 'Гражданский кодекс Российской Федерации', 'Data1_11_11372_index']"
Какие ГОСТы или СНиПы регламентируют расчет затрат на эксплуатацию строительных машин?," Для расчета затрат на эксплуатацию строительных машин используются: СНиП 4.03-91 (Сборник сметных норм и расценок на эксплуатацию строительных машин), Методические рекомендации по определению сметной стоимости строительства на базе показателей на отдельные виды работ (ПВР) и Методические рекомендации по формированию укрупненных показателей базовой стоимости на виды работ и порядок их применения для составления инвесторских смет и предложений подрядчика (УПСВ ВР).","['Data1_2_2117_index', 'Data1_2_2076_index', 'Data1_10_10864_index', 'Data1_10_10848_index']"
