question,answer,document
Какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать согласно ГОСТ МДС 80-3.2000?," Согласно контексту предоставленному в вашем вопросе, максимальное число баллов по показателю 'цена' рекомендуется установить в размере до 800 баллов.","['Data1_10_10869_index', 'Data1_10_10754_index', 'Data1_2_2075_index']"
"Как производится усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации?"," Усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации, детей, являющихся гражданами Российской Федерации, производится в порядке, установленном настоящем Кодексом для граждан Российской Федерации. Это значит, что они должны подать заявление об усыновлении соответственно в верховный суд республики, краевой, областной суд, суд города федерального значения, суд автономной области и суд автономного округа по месту жительства или месту нахождения усыновляемого ребенка. К заявлению должны быть приложены все документы, указанные в части первой статьи 271 настоящего Кодекса (медицинское заключение о состоянии здоровья усыновителей и другие), а также разрешение компетентного органа соответствующего государства на въезд усыновляемого ребенка в это государство и его постоянное проживание на территории этого государства. Если ребенок является иностранным гражданином, то необходимо получить согласие законного представителя ребенка и компетентного органа государства, гражданин которого является ребенок, а также (если это требуется в соответствии с нормами права такого государства или международным договором Российской Федерации), согласие самого ребенка на усыновление.","['Семейный кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации']"
Что такое коллективный трудовой спор?," Коллективный трудовой спор является неурегулированными разногласиями между работниками (их представителями) и работодателями (их представителями), которые возникают по поводу установления и изменения условий труда, заключения, изменения и выполнения коллективных договоров, соглашений, а также в связи с отказу работодателя учесть мнение выборного представительного органа работников при принятии локальных нормативных актов.",['Трудовой кодекс Российской Федерации']
Какие процедуры могут предшествовать заключению трудового договора с руководителем организации?," Трудовые договоры с руководителями организаций могут быть установлены процедурами, предшествующими их заключению. Помимо других процедур, это может включать:

1. Проведение конкурса;
2. Избрание на должность или назначение на должность;
3. Другие прообразные процедуры, которые могут быть установлены в соответствии с нормативными правовыми актами, включая конкретный законодательный акт организации или локальный нормативный акт.",['Трудовой кодекс Российской Федерации']
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления?"," При помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины исчисляются исходя из стоимости операций по переработке вне таможенной территории Союза.

Стоимость операций по переработке вне таможенной территории Союза определяется как совокупность фактически понесенных расходов на:
1) операции по переработке (ремонту);
2) иностранные товары, использованные в процессе переработки (ремонта), если они не включены в расходы на операции по переработке (ремонту).

В случае если заявленная при таможенном декларировании продуктов переработки стоимость операций по переработке вне таможенной территории Союза не подтверждена документально либо представленные документы не подтверждают заявленные сведения о стоимости таких операций, она определяется как разность таможенной стоимости продуктов переработки и стоимости товаров, помещенных под таможенную процедуру переработки вне таможенной территории.

В случае если к продуктам переработки применяются специфические ставки ввозных таможенных пошлин, сумма подлежащих уплате ввозных таможенных пошлин определяется как произведение суммы ввозной таможенной пошлины, исчисленной по специфической ставке в отношении продуктов переработки, на соотношение стоимости операций по переработке вне таможенной территории Союза к таможенной стоимости продуктов переработки, как если бы продукты переработки помещались под таможенную процедуру выпуска для внутреннего потребления.

При помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления налоги в отношении продуктов переработки исчисляются в соответствии с законодательством государства-члена, на территории которого продукты переработки помещаются под таможенную процедуру выпуска для внутреннего потребления.

В случае если операцией по переработке вне таможенной территории Союза являлся ремонт вывезенных с таможенной территории Союза товаров, акцизы (акцизный налог или акцизный сбор) не исчисляются и не уплачиваются.

При помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления ввозные таможенные пошлины, налоги подлежат уплате в размере сумм ввозных тамоzenых пошлин, налогов, исчисленных в соответствии с пунктами 1 - 5 настоящей статьи, если иное не установлено пунктом 7 настоящей статьи.

При помещении продуктов переработки, полученных в результате совершения операций по переработке вне таможенной территории Союза в отношении иностранных товаров, указанных в подпункте 1 пункта 3 статьи 176 настоящего Кодекса, под таможенную процедуру выпуска для внутреннего потребления ввозные таможенные пошлины, налоги, исчисленные в соответствии с пунктами 1 - 5 настоящей статьи, не уплачиваются, за исключением случаев, когда в соответствии с пунктом 11 статьи 136 настоящего Кодекса в отношении этих иностранных товаров наступит срок уплаты ввозных таможенных пошлин, налогов.",['Таможенный кодекс Евразийского экономического союза']
Что такое государственная собственность в Российской Федерации?," Государственной собственностью в Российской Федерации является имущество, принадлежащее на праве собственности Российской Федерации (федеральная собственность), а также имущество, принадлежащее на праве собственности субъектам Российской Федерации - республикам, краям, областям, городам федерального значения, автономной области, автономным округам (собственность субъекта Российской Федерации). Кроме того, земля и другие природные ресурсы, не находящиеся в собственности граждан, юридических лиц либо муниципальных образований, являются государственной собственностью. В федеральной собственности находятся земельные участки, признаны таковыми федеральными законами, а также те, право собственности Российской Федерации на которые возникло при разграничении государственной собственности на землю, или те, которые приобретены Российской Федерацией по основаниям, предусмотренным гражданским законодательством.","['Гражданский кодекс Российской Федерации', 'Земельный кодекс Российской Федерации']"
Кто одобрил Методические рекомендации по разработке технической части тендерной документации и оферты претендента?, Методические рекомендации по разработке технической части тендерной документации и оферты претендента были одобрены Межведомственной комиссией по подрядным торгам Минстроя России.,"['Data1_10_10866_index', 'Data1_10_10869_index', 'Data1_10_10865_index']"
"Что грозит за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации?"," В случае совершения административного правонарушения, предусмотренного статьей 19.8 настоящего Кодекса, за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации, могут быть наложены административные штрафы в размере от одной тысячи пятисот до двух тысяч пятисот рублей для граждан, от трех тысяч до пяти тысяч рублей для должностных лиц, от пятидесять тысяч до ста тысяч рублей для юридических лиц.",['Административный кодекс Российской Федерации']
"Какие участки трубопроводов подлежат замене, согласно ГОСТ МДС 13-18.2000?"," Согласно вышеприведённому контексту, участками трубопроводов, на которых выявляется более 0,7 свича (в том числе заваренного) на 1 п.м трубы или коррозионный износ превышает 60 % (определяется по специально вырезанным образцам длиной 100 мм), подлежат замене. Это нормативное требование содержится в ГОСТе МДС 13-18.2000.","['Data1_10_10852_index', 'Data1_1_1879_index', 'Data1_10_10861_index']"
Какие примеры нематериальных активов приведены в тексте?," Приведенные в тексте примеры нематериальных активов следующие: стратегия развития, методика ценообразования, права на изобретение, полезную модель или промышленный образец, программа для ЭВМ или база данных, топология интегральных микросхем, секрет производства (ноу-хау), торговая марка, знак обслуживания.","['Data1_10_10867_index', 'Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Как компенсируется ущерб Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ в ГОСТ МДС 11-11.2000?," В соответствии с указанным текстом ГОСТ МДС 11-11.2000, Работодатель должен полностью компенсировать ущерб Исполнителю, понесенный из-за несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ.","['Data1_10_10858_index', 'Гражданский кодекс Российской Федерации']"
Какие данные об инвентарном номере и каталожном листе должны быть указаны в форме 5?," В форме 5 данных о Инвентарном номере проектной документации нет. Каталожный номер должен быть заполнен в соответствии с установленными правилами Строительного каталога, применяемым к части 3 этого каталога.",['Data1_10_10849_index']
Что такое заключение под стражу?," Заключение под стражу - это меры пресечения, применяемый судебным решением в отношении подозреваемого или обвиняемого в совершении преступления с назначением лишения свободы на срок более трех лет, если невозможно применение иной, более мягкой, меры пресечения. В отсутствие указанных обстоятельств этот вид меры пресечения не может быть применён в отношении подозреваемого или обвиняемого в совершении преступлений, за которые предусмотрены определенные статьи Уголовного кодекса России. При этом судья должен указать конкретные фактические обстоятельства, на основании которых принимал такое решение.","['Уголовный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
"Как долго может длиться процедура отбора лучшего предложения, согласно ГОСТ МДС 11-11.2000?"," Не указано ничего о том, что процедура выбора лучшего предложения должна завершиться в конкретном сроке по ГОСТу МДС 11-11.2000. В этой статье подробно описан порядок оценки тендерных предложений, но срок их выполнения зависит от регламента работы тендерного комитета и не может быть связан с конкретным стандартом.","['Data1_10_10858_index', 'Data1_10_10866_index', 'Гражданский кодекс Российской Федерации']"
Что происходит с патентной пошлиной после отзыва заявления об открытой лицензии?," Если до отзыва открытой лицензии не было заключено соответствующих лицензионных договоров на условиях открытой лицензии, то патентообладатель обязан доплатить пошлину за поддержание патента в силе за период, прошедший со дня публикации сведений об открытой лицензии. В дальнейшем уплачивать ее в полном размере. Если же до отзыва открытой лицензии были заключены соответствующие лицензионные договоры, то лицензиаты сохраняют свои права на весь срок действия этих договоров, а патентообладатель обязан уплачивать пошлину за поддержание патента в силе в полном размере с даты отзыва открытой лицензии.","['Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Какая площадь бетоносмесителей должна быть предусмотрена согласно ГОСТ МДС-80-8.2000?," Согласно ГОСТу МДС 80.8.2000 ""Минимальные требования к микроцехам для производства бетона"", в случае проектирования микроцехов для производства бетона необходимо предусмотреть площадь бетоносмесителей, учитывая следующие условия:

- Площадь одного бетоносмесителя должна быть не менее 100 м².
- В случае производства большого количества бетона или использования мелких форм и деталей требуется увеличить площадь бетоносмесителей. Например, для производства до 300 м³ бетона в сутки необходима площадь от 1000 м², а для производства до 500 м³ - площадь от 1200 м².
- При изготовлении деталей и форм малой сложности площадь бетоносмесителя может быть уменьшена.

Выбор конкретной площади бетоносмесителей для производства бетона зависит от количества смесей, объема выполняемых работ и использования оборудования, поэтому следует проводить индивидуальный расчёт в соответствии с применяемыми стандартами.","['Data1_2_2096_index', 'Data1_10_10846_index', 'Data1_10_10865_index', 'Data1_1_1879_index']"
Как определяются затраты на получение исходных данных и согласования по проектным решениям согласно МДС 81-30.2002?," Затраты на получение исходных данных и согласование по проектным решениям определяются на основании расчетов, а также цен на эти услуги, а также согласно письму Минстроя России от 14.11.96 № БЕ-19-30/12.","['Data1_10_10754_index', 'Data1_2_2069_index', 'Data1_10_10848_index', 'Data1_2_2079_index', 'Data1_2_2076_index']"
Какие административные правонарушения относятся к категории нарушений законодательства об охране здоровья граждан?," В статье предоставлено перечисление нескольких видов административных правонарушений, которые относятся к категории нарушений законодательства об охране здоровья граждан. Это:

1. Нарушение санитарно-эпидемиологических требований в отношении обеспечения санитарно-эпидемического благополучия населения (в части невыполнения санитарных правил и гигиенических нормативов, невыполнение санитарно-гигиенических и противоэпидемических мероприятий);
2. Нарушение санитарно-эпидемиологических требований в период чрезвычайной ситуации или при возникновении угрозы распространения заболевания, либо в период осуществления на соответствующей территории ограничительных мероприятий (карантина), либо невыполнение в установленный срок выданного в указанные периоды законного предписания (постановления) или требования органа, осуществляющего федеральный государственный санитарно-эпидемиологический надзор, о проведении санитарно-противоэпидемических (профилактических) мероприятий;
3. Действия или бездействие, которые повлекли причинение вреда здоровью человека или смерть человека в период указанных выше нарушений законодательства и в случае отсутствия уголовно наказуемого деяния;
4. Нарушение санитарно-эпидемиологических требований к эксплуатации жилых помещений и общественных помещений, зданий, сооружений и транспорта.",['Административный кодекс Российской Федерации']
Как согласно СНиП 3.01.03-84 устанавливаются анкерные блоки и закладные детали?," Анкерные блоки и закладные детали при монтаже по микрообноске, согласно СНиП 3.01.03-84, устанавливаются по продольным и поперечным разбивочным осям, которые создаются на установленную и закрепленную обноску фундамента. Продольные и поперечные оси закрепляют гвоздями и отриской, а затем на них натягивается проволока, от которой непосредственно определяют местоположение элементов фундамента в плане. При этом для установки анкерных болтов рекомендуется применять шаблоны.","['Data1_11_11295_index', 'Data1_11_11285_index']"
